STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
570360,28000001,28,6.5,8.25,3.85,,,,,,6.75,,17.1,,,21.5
570361,28000002,28,6.5,8.25,,,,4.35,,,6.25,,,,,21.0
570362,28000003,28,8.75,7.25,9.5,8.75,,,,,,27.0,,,,
570363,28000004,28,5.25,8.0,,,,9.5,,,5.5,,,,,18.75
570364,28000005,28,7.75,7.25,,8.25,9.5,,,,,,,25.5,,
570365,28000006,28,5.35,7.5,,,,5.75,,,3.0,,,,,15.85
570366,28000007,28,8.5,4.0,9.25,8.25,,,,,,26.0,,,,
570367,28000008,28,6.1,8.25,,,,,,8.0,6.25,,,,,20.6
570368,28000009,28,8.5,7.5,8.0,5.6,,,,,,22.1,,,,
570369,28000010,28,6.0,6.5,3.1,,,,,,6.0,,15.1,,,18.5
570370,28000011,28,7.5,7.75,,,,,8.0,,5.5,,,,,20.75
570371,28000012,28,2.8,7.5,,,,,,9.25,2.5,,,,,12.8
570372,28000013,28,7.25,8.0,,,,9.75,,,6.0,,,,,21.25
570373,28000014,28,4.7,7.75,,,,4.75,,,4.25,,,,,16.7
570374,28000015,28,2.7,8.25,,,,,7.35,9.75,,,,,,
570375,28000016,28,5.75,7.5,,,,,6.35,,4.25,,,,,17.5
570376,28000017,28,7.25,7.0,6.0,,,,,,5.75,,19.0,,,20.0
570377,28000018,28,7.0,8.0,5.0,,,,,,5.25,,17.25,,,20.25
570378,28000019,28,7.5,9.25,,,,9.0,,,7.25,,,,,24.0
570379,28000020,28,5.35,8.25,,,,8.75,,,7.5,,,,,21.1
570380,28000021,28,4.85,8.25,,,,8.0,,,6.0,,,,,19.1
570381,28000022,28,4.25,7.25,,,,7.1,,9.75,,,,,,
570382,28000023,28,7.0,9.25,,,,9.0,,,8.25,,,,,24.5
570383,28000024,28,4.75,8.5,,,,,9.25,9.0,,,,,,
570384,28000025,28,6.0,8.0,,,,,6.25,,5.25,,,,,19.25
570385,28000026,28,8.0,7.75,9.0,,,,,,6.25,,23.25,,,22.0
570386,28000027,28,6.75,7.5,7.25,4.85,,,,,,18.85,,,,
570387,28000028,28,5.75,8.75,6.0,6.25,,,,,,18.0,,,,
570388,28000029,28,6.5,8.0,,,,7.25,,,5.0,,,,,19.5
570389,28000030,28,2.6,7.0,6.1,,,6.75,,,,,,,,
570390,28000031,28,8.5,6.25,8.0,7.0,,,,,,23.5,,,,
570391,28000032,28,8.0,8.5,4.85,,,,,,7.5,,20.35,,,24.0
570392,28000033,28,5.0,5.5,6.0,,,,,,5.25,,16.25,,,15.75
570393,28000034,28,6.0,8.75,,,,9.0,,,6.0,,,,,20.75
570394,28000035,28,4.0,8.25,,,,8.5,,,5.75,,,,,18.0
570395,28000036,28,6.75,7.5,5.85,,,,,,6.75,,19.35,,,21.0
570396,28000037,28,5.85,8.25,,,,,5.75,,5.5,,,,,19.6
570397,28000038,28,5.1,8.5,4.25,,,,,,7.0,,16.35,,,20.6
570398,28000039,28,7.75,7.0,7.6,,,,,,4.5,,19.85,,,19.25
570399,28000040,28,7.25,7.25,7.5,,,,,,6.0,,20.75,,,20.5
570400,28000041,28,5.75,8.0,7.1,,,,,,5.5,,18.35,,,19.25
570401,28000042,28,4.5,8.25,,,,9.25,8.75,,,,,,26.25,
570402,28000043,28,6.0,7.5,,,,,5.1,,5.5,,,,,19.0
570403,28000044,28,5.75,9.0,,,,,6.1,,5.5,,,,,20.25
570404,28000045,28,6.35,8.0,,,,8.25,,,5.25,,,,,19.6
570405,28000046,28,3.0,7.5,,,,7.25,,7.5,,,,,,
570406,28000047,28,6.25,8.5,7.75,,,,,,5.5,,19.5,,,20.25
570407,28000048,28,5.75,7.25,6.25,,,,,,7.25,,19.25,,,20.25
570408,28000049,28,6.25,9.0,,,,8.75,,,8.0,,,,,23.25
570409,28000050,28,4.25,8.75,,,,7.0,,,6.25,,,,,19.25
570410,28000051,28,7.6,8.0,8.5,,,,,,7.25,,23.35,,,22.85
570411,28000052,28,6.25,8.5,9.25,,,,,,6.75,,22.25,,,21.5
570412,28000053,28,7.75,7.5,8.0,6.25,,,,,,22.0,,,,
570413,28000054,28,3.1,6.5,,,,,5.0,6.0,,,,,,
